Index,Manufacturer Part Number,Manufacturer Name,Description,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference
1,CMA-6542PF,CUI Devices,MICROPHONE COND ANALOG OMNI,,10,10,Box,102-1720-ND,0.64500,$6.45,1,MK1-MK10
2,LM4040D50FTA,Diodes Incorporated,IC VREF SHUNT 1% SOT23,,1,1,Cut Tape (CT),LM4040D50FCT-ND,0.58000,$0.58,1,U1
3,ERJ-U02F2201X,Panasonic Electronic Components,RES 2.2K OHM 1% 1/10W 0402 SMD,,10,10,Cut Tape (CT),10-ERJ-U02F2201XCT-ND,0.10000,$1.00,1,R1-R10
4,GRM32ER71E226ME15L,Murata Electronics,CAP CER 22UF 25V X7R 1210,,3,3,Cut Tape (CT),490-10758-1-ND,1.07000,$3.21,1,C13-C15
5,"BC860CW,115",Nexperia USA Inc.,TRANS PNP 45V 100MA SOT323,,3,3,Cut Tape (CT),1727-4878-1-ND,0.20000,$0.60,1,Q1-Q3
6,ERA-6AEB102V,Panasonic Electronic Components,RES 1K OHM 0.1% 1/8W 0805,,2,2,Cut Tape (CT),P1.0KDACT-ND,0.32000,$0.64,1,"R15, R16"
7,ERA-6AEB104V,Panasonic Electronic Components,RES 100K OHM 0.1% 1/8W 0805,,4,4,Cut Tape (CT),P100KDACT-ND,0.32000,$1.28,1,R11-R14
8,1N4448WQ-7-F,Diodes Incorporated,DIODE GEN PURP 75V 250MA SOD123,,2,2,Cut Tape (CT),1N4448WQ-7-FDICT-ND,0.24000,$0.48,1,"D1, D2"
9,CL32B106KBJNNWE,Samsung Electro-Mechanics,CAP CER 10UF 50V X7R 1210,,12,12,Cut Tape (CT),1276-3388-1-ND,0.45500,$5.46,1,C1-C12
